fecha	fácil	medio	difícil
11122025	
10122025	0:16	0:46	2:50
09122025	0:46	5:23	1:48
08122025	0:11	1:36	8:27
07122025	0:23	0:36	4:28
06122025	0:31	0:49	4:32
05122025	0:14	0:41	1:01
04122025	0:22	1:47	4:07
03122025	0:34	1:00	1:54
02122025	0:58	1:12	13:10
01122025	0:13	1:20	15:12
30112025	0:35	1:25	2:01
29112025	0:11	1:20	2:28
28112025	0:16	2:02	0:55
27112025	0:16	1:09	2:50
26112025	0:25	0:36	16:24
25112025	0:14	5:05	1:30
24112025	0:20	1:04	6:43
22112025	0:14	0:42	1:48
21112025	0:41	1:09	1:46
20112025	0:42	0:29	2:04
19112025	0:14	3:02	6:37
18112025	0:30	0:49	10:49
17112025	0:38	2:42	1:17
16112025	0:35	3:11	6:06
15112025	0:33	0:28	3:44
14112025	0:13	5:38	4:15
13112025	0:14	1:09	6:17
12112025	0:20	2:22	5:15
11112025	0:20	0:33	11:52
10112025	0:12	0:51	1:16	
08112025	0:18	3:50	1:02
07112025	0:13	1:25	4:44
06112025	0:17	0:47	1:12
05112025	0:09	0:49	7:12
04112025	0:15	0:44	15:56
03112025	0:13	0:41	6:43
02112025	0:26	1:18	1:57
01112025	0:08	3:12	17:48
31102025	0:11	0:30	1:08
30102025	0:16	0:40	8:39
29102025	0:22	0:22	4:01
28102025	0:18	0:30	5:14
27102025	0:16	3:14	7:47
26102025	1:46	3:59	14:45
25102025	3:01	0:56	6:07
24102025	0:13	1:03	5:33
23102025	0:26	2:59	9:51
22102025	0:14	4:37	2:28
21102025	1:20	0:53	2:20	
20102025	0:43	1:11	
19102025	0:13	7:22	5:39
18102025	0:40	3:25	3:01
17102025	0:56	1:38	
16102025	2:49	2:04	1:26
15102025	0:14	1:07	17:06
14102025	0:17	0:54	1:56
12102025	0:11	1:09	2:12
11102025	0:12	0:39	7:14
10102025	0:08	0:55	6:18
09102025	1:10	1:15	5:37	
08102025	0:10	1:18	
07102025	0:16	3:43	
06102025	1:03	0:44	3:35
05102025	0:45	1:41	4:34
03102025	1:02	2:03	1:08
02102025	0:20	2:53	1:11
01102025	0:36	0:54	1:23
29092025	0:15	0:39	4:50
28092025	0:19	0:53	1:22
27092025	0:35	0:40	3:12
26092025	0:19	0:54	4:59
25092025	1:57	2:16	2:22
24092025	0:35		4:06
23092025	0:14	1:35	0:51
22092025	0:16	1:52	3:24
21092025	0:24	1:27	2:09
20092025	1:11	1:50	8:19
19092025	0:14	1:13	5:53
18092025	0:30	2:33	2:32
17092025	0:16	1:43	9:37
16092025	0:49	0:43	1:50
15092025	0:30	1:30	2:20
14092025	0:40	1:29	2:42
13092025	0:23	2:14	2:30
12092025	0:13	0:58	3:20
11092025	0:27	0:56	4:25
10092025	0:17	0:53	7:40
09092025	0:14	1:12	2:38
08092025	0:11	0:35	1:42
07092025	0:08	2:16	6:21
06092025	0:18	0:26	1:13	
05092025	0:25	0:54	1:55
04092025	0:11	1:14	2:30
03092025	0:23	1:29	3:17
02092025	0:12	0:39	1:10	
01092025	0:14	1:16	1:37
31082025	0:30	0:28	1:32
30082025	0:17	0:36	1:28	
29082025	0:10	0:32	7:04
28082025	1:01	0:27	1:06
27082025	0:12	1:08	1:35
26082025	0:15	1:50	3:14
25082025	0:20	0:47	6:19	
24082025	0:52	1:45	7:00
23082025	0:12	1:01	3:11
22082025	0:42	3:06	1:29
21082025	0:51	1:22	1:16
20082025	0:17	0:26	1:24
18082025	0:39	1:35	4:41
