fecha	fácil	medio	difícil
08122025	
07122025	1:14	4:14	6:26
06122025	1:08	4:47	5:20
05122025	1:38	6:01	4:56
04122025	1:22	4:49	6:46
03122025	1:28	6:09	10:10
02122025	1:00	3:45	9:43
01122025	1:07	6:22	7:23
30112025	1:22	6:27	6:56
29112025	1:18	5:58	4:04
28112025	1:16	5:55	10:38
27112025	1:11	5:08	5:13
26112025	1:15	3:37	7:38
25112025	1:28	3:36	6:30
24112025	1:31	5:10	5:14
22112025	1:14	3:47	9:25
21112025	1:30	8:40	9:25
20112025	1:17	3:52	13:15
19112025	1:47	4:45	8:13
18112025	1:01	6:33	9:55
17112025	1:26	5:27	10:10
16112025	1:28	7:26	4:43
15112025	1:14	3:51	8:14
14112025	1:25	4:45	10:16
13112025	1:19	4:08	6:50
12112025	1:08	3:38	8:16
11112025	1:38	4:06	4:03
10112025	1:40	4:08	6:30	
08112025	1:20	4:41	11:13
07112025	1:40	7:24	6:23
06112025	1:32	6:23	11:24
05112025	1:36	4:06	4:19
04112025	1:36	4:18	4:17
03112025	1:40	4:11	7:20
02112025	1:27	3:39	5:00
01112025	1:28	7:23	8:44
31102025	1:16	4:51	4:30
30102025	1:15	7:55	5:01
29102025	1:35	6:52	6:57
28102025	1:21	6:11	6:17
27102025	1:34	5:31	7:28
26102025	1:18	4:23	11:01
25102025	1:07	5:24	7:59
24102025	1:39	4:07	6:03
23102025	1:25	4:53	10:58
22102025	1:34	4:09	4:30
21102025	1:15	4:51	6:05
20102025	1:10	4:10	7:36
19102025	1:28	5:58	8:11
18102025	2:06	5:05	4:27
17102025	1:11	5:30	9:41
16102025	1:28	8:01	6:50
15102025	1:20	3:55	5:43
14102025	1:42	4:20	7:15
12102025	1:37	3:35	5:26
11102025	1:32	4:59	5:46
10102025	1:49	4:07	9:05
09102025	1:28	6:16	7:03	
08102025	1:09	3:38	6:36
07102025	1:19	5:21	5:07
06102025	1:14	5:01	5:57
05102025	1:21	3:59	9:34
04102025	1:26	5:53	9:36
03102025	1:31	3:45	9:57
02102025	1:33	5:18	5:05	
01102025	1:04	5:10	8:10
30092025	1:13	3:25	8:36
29092025	1:17	4:41	3:51
28092025	1:55	4:25	5:38
27092025	1:20	4:16	9:33
26092025	1:33	4:14	3:21
25092025	5:43	7:01	9:33
24092025	1:37	5:26	11:24
23092025	1:32	4:44	5:25
22092025	1:27	6:52	10:26
21092025	1:39	6:01	7:11
20092025	1:42	2:53	5:33
19092025	1:15	4:21	5:58
18092025	1:46	4:22	5:41
17092025	1:23	3:32	10:27
16092025	1:24	4:17	4:53
15092025	1:50	3:40	5:41
14092025	1:44	5:15	5:42
13092025	1:27	5:52	6:00
12092025	1:25	4:52	6:35
11092025	1:28	4:23	4:58
10092025	1:09	4:20	5:33
09092025	1:12	4:40	6:10
08092025	1:30	3:42	3:49
07092025	1:24	3:51	5:47
06092025	1:25	6:56	11:28	
05092025	1:16	4:09	6:33
04092025	1:22	4:52	7:13
03092025	1:13	3:47	11:15
02092025	1:31	4:38	10:40
01092025	1:31	3:19	5:19
31082025	1:08	3:47	5:48	
30082025	1:34	5:08	5:21	
29082025	1:29	3:42	4:46
28082025	1:14	5:04	7:16
27082025	1:14	6:05	12:22
26082025	1:16	6:25	6:14
25082025	1:21	7:16	3:49
24082025	1:21	4:19	3:19
23082025	1:13	3:03	5:31
22082025	1:38	2:49	7:53
21082025	1:21	5:05	9:27
20082025	1:33	4:03	4:34
19082025	1:26	3:44	6:27
18082025	1:21	8:45	6:37
17082025	1:01	10:23	6:42
16082025	1:20	3:56	5:06
15082025	1:48	6:20	6:51
14082025	1:53	6:22	13:13	
13082025	1:24	10:07	7:50
12082025	1:22	3:33	10:31
11082025	1:18	7:36	3:55
10082025	1:24	7:00	9:04
09082025	1:22	8:39	7:52
08082025	1:55	4:17	11:22
07082025	1:57	4:25	7:49
06082025	1:38	4:56	4:57
05082025	1:17	6:52	10:07
04082025	1:49	4:48	4:35
03082025	1:36	5:05	4:08
02082025	1:14	8:57	8:32
01082025	2:54	4:44	7:04
31072025	1:57	6:29	6:28
30072025	1:42	4:18	13:21
29072025	1:22	5:29	5:20
28072025	1:26	10:17	4:20
27072025	1:27	5:09	12:59
26072025	1:22	4:57	8:18
24072025	1:25	4:26	6:59
23072025	1:26	6:29	5:42
22072025	1:28	3:10	5:59
21072025	1:42	4:11	6:24
20072025	1:42	6:20	13:30
19072025	1:41	4:50	13:57
18072025	1:30	5:39	3:36
17072025	1:54	8:58	9:55
16072025	1:48	5:25	14:11
15072025	1:22	3:35	11:31
14072025	1:17	6:54	4:40
13072025	1:57	6:17	7:53
12072025	1:05	4:30	4:36
11072025	1:26	7:42	14:48
10072025	1:19	3:54	7:27
09072025	1:22	5:43	6:17
08072025	2:21	6:42	6:55
07072025	1:15	8:00	6:03
04072025	1:24	3:17	5:32
03072025	1:37	8:00	8:40
02072025	1:25	5:43	7:33
01072025	2:13	6:45	14:14
30062025	1:48	6:40	6:54
29062025	1:15	4:43	12:20
28062025	1:26	5:18	7:40
27062025	1:26	4:32	6:29
26062025	1:37	4:51	6:04
25062025	1:31	6:24	6:59
24062025	1:35	5:08	9:06
23062025	1:21	5:30	13:12	
22062025	1:25	14:43	7:50
21062025	1:47	5:40	7:22
20062025	1:37	5:58	7:39
19062025	1:20	9:27	9:38
18062025	1:24	6:25	13:19
17062025	1:41	5:33	9:45
16062025	1:39	6:29	8:38
15062025	1:44	6:57	7:57
14062025	1:24	5:38	9:17
13062025	1:29	6:52	8:24
12062025	1:34	7:23	15:46
11062025	1:24	5:08	10:30
10062025	1:50	8:41	10:33	
09062025	1:33	6:04	8:18
07062025	2:06	7:22	8:10	
06062025	1:29	12:46	9:21
05062025	1:10	7:48	6:58
04062025	1:22	7:33	7:39
03062025	1:43	7:38	6:57
02062025	1:30	7:16	7:25
01062025	1:38	8:01	7:58
31052025	1:58	7:46	7:54
30052025	1:37	6:22	11:41
29052025	1:32	7:19	8:40
28052025	1:38	12:36	10:36
27052025	1:34	9:43	9:43
26052025	1:57	7:43	5:51
25052025	1:22	5:53	6:20
24052025	1:27	5:37	10:03
23052025	1:19	7:53	10:50
22052025	1:33	7:26	8:28
21052025	1:41	7:04	13:44
20052025	1:44	6:03	12:23
19052025	1:43	7:03	10:25
18052025	1:19	9:29	8:31
17052025	1:35	7:48	7:44
16052025	1:37	7:29	8:18
15052025	1:48	7:44	8:43
14052025	1:51	6:35	12:49
13052025	1:41	7:19	6:20
12052025	1:48	10:11	8:49
11052025	1:31	7:20	7:57
10052025	1:32	7:04	9:04
09052025	1:48	5:36	7:29
08052025	1:33	8:42	
07052025	1:28	7:36	8:22	
06052025	1:13	11:12	11:07
05052025	1:45	11:32	6:50
04052025	1:46	6:20	10:44
03052025	2:11	6:31	10:36
02052025	1:31	12:02	7:36
01052025	1:32	9:48
30042025	1:59	11:42	10:56
29042025	1:40	7:18	10:47
28042025	1:31	5:17	9:40
27042025	1:53	6:44	14:49
26042025	1:42	6:41	9:12
25042025	1:58	6:17	7:52
24042025	1:31	12:56	10:43
23042025	1:48	13:55	7:48
22042025	1:35	5:56	11:43
21042025	2:13	7:12	12;50
